,player,game,city,date,frame,thrown,points,cumulative
179,Kaspareski,4,Eindhoven,10-08-2018,10,8- ,8,99
180,Don,4,Eindhoven,10-08-2018,1,9/,15,15
181,Don,4,Eindhoven,10-08-2018,2,53,8,23
182,Don,4,Eindhoven,10-08-2018,3,61,7,30
183,Don,4,Eindhoven,10-08-2018,4,X ,19,49
184,Don,4,Eindhoven,10-08-2018,5,72,9,58
185,Don,4,Eindhoven,10-08-2018,6,81,9,67
186,Don,4,Eindhoven,10-08-2018,7,X ,20,87
187,Don,4,Eindhoven,10-08-2018,8,9/,19,106
188,Don,4,Eindhoven,10-08-2018,9,9/,18,124
189,Don,4,Eindhoven,10-08-2018,10,8/8,18,142
190,Brunswick,4,Eindhoven,10-08-2018,1,X ,19,19
191,Brunswick,4,Eindhoven,10-08-2018,2,72,9,28
192,Brunswick,4,Eindhoven,10-08-2018,3,X ,18,46
193,Brunswick,4,Eindhoven,10-08-2018,4,71,8,54
194,Brunswick,4,Eindhoven,10-08-2018,5,X ,16,70
195,Brunswick,4,Eindhoven,10-08-2018,6,51,6,76
196,Brunswick,4,Eindhoven,10-08-2018,7,5-,5,81
197,Brunswick,4,Eindhoven,10-08-2018,8,X ,20,101
198,Brunswick,4,Eindhoven,10-08-2018,9,8/,20,121
199,Brunswick,4,Eindhoven,10-08-2018,10,XX9,29,150
